Structure parameters:
-2.4223377964e-04 1.2595528679e-03 1.0022863436e-02 
-6.3898060590e-04 1.2340705921e-03 9.9684484364e-03 
-1.0964657711e-03 1.2438013325e-03 1.0368302595e-02 
-9.8726447064e-04 1.1521998150e-03 9.8109739307e-03 
-1.1264819254e-03 1.2007886666e-03 1.0299587724e-02 
-1.2111275297e-03 1.2089722721e-03 1.0545534567e-02 
8.4200910858e-04 1.2107192064e-03 1.1178534522e-02 
-2.4398314883e-03 1.1122919159e-03 1.1267890543e-02 
-2.2526387291e-03 1.0878427652e-03 1.1156026976e-02 
1.4006150286e-03 1.1591506909e-03 1.1861732515e-02 
-9.1480843958e-04 1.1423486736e-03 1.2590056895e-02 
-1.0242415418e-03 1.1406528158e-03 1.2471316828e-02 
-4.7625994401e-03 7.6126543336e-04 1.3610897110e-02 
-1.4614369324e-03 7.7274088393e-04 1.3670554163e-02 
8.6319555825e-04 5.6233793127e-04 1.2962131904e-02 
6.4636719318e-04 5.5325398240e-04 1.2998911078e-02 
2.3331325778e-04 5.4494931762e-04 1.3075008807e-02 
5.9615388209e-05 5.4529408278e-04 1.3135838061e-02 
-4.9737141337e-05 5.4823533437e-04 1.3148355380e-02 
-3.7238637679e-03 5.5893401358e-04 1.4231605810e-02 
3.2488284533e-04 5.3200036956e-04 1.3050467822e-02 
-2.5253867918e-04 5.2151541204e-04 1.3199057703e-02 
-5.4784977516e-04 5.3033748181e-04 1.3263754998e-02 
1.5144192243e-03 5.7176633081e-04 1.3595256248e-02 
7.7185063594e-04 5.0991639937e-04 1.2967216829e-02 
-9.8418672333e-04 5.0521311799e-04 1.3357178889e-02 
3.9580672853e-04 4.7857673847e-04 1.3034301057e-02 
6.2703879763e-05 4.8763063380e-04 1.3117272851e-02 
-3.4146444744e-05 4.8726276365e-04 1.3140777128e-02 
8.6728493615e-04 4.6431818777e-04 1.2928638808e-02 
3.4561775025e-04 4.6775609907e-04 1.3047710663e-02 
1.9381537873e-04 4.7219531530e-04 1.3085242321e-02 
5.3682603206e-04 4.5882219572e-04 1.3010760718e-02 
2.4514906228e-04 4.5603779790e-04 1.3070565867e-02 
-5.8947077669e-04 4.5576773856e-04 1.3274732095e-02 
-1.6654218956e-04 4.3793300579e-04 1.3171589671e-02 
-5.4126344401e-04 4.4519458246e-04 1.3253914747e-02 
-7.8891872743e-04 4.3500315391e-04 1.3299422439e-02 
-9.7678908047e-04 4.3212610913e-04 1.3350015339e-02 
-3.1600443679e-03 5.0390327248e-04 1.5380937842e-02 
-3.4191683387e-03 4.3959895021e-04 1.5088264520e-02 
3.5068283339e-04 3.3065496797e-04 1.2995432389e-02 
2.2990010938e-04 2.4134509782e-04 1.3090721060e-02 
-1.2226313164e-03 1.7493701812e-04 1.3395684025e-02 
-1.0523410729e-03 1.0931021174e-04 1.3347537125e-02 
3.2395715586e-04 4.2627159613e-05 1.3032042949e-02 
-1.3739670161e-03 -3.1703120052e-05 1.3452946621e-02 
6.1835055364e-05 -6.3107005639e-05 1.3095922568e-02 
1.7586862913e-03 -6.5670792621e-05 1.2713624450e-02 
1.3445741394e-03 -1.1034132352e-04 1.2800715559e-02 
-9.7829027411e-04 -1.4631461794e-04 1.3318281226e-02 
4.8438359015e-04 -2.1101845149e-04 1.2989986538e-02 
-1.3618256364e-04 -2.2504082554e-04 1.3123557352e-02 
-1.3671523882e-03 -2.6590636127e-04 1.3432565350e-02 
8.1157766463e-04 -3.4950232017e-04 1.2900404081e-02 
-1.3000647191e-03 -4.5693360116e-04 1.3409710712e-02 
1.8093173833e-03 -4.3184212522e-04 1.2778878996e-02 
1.8504007827e-04 -4.8630629075e-04 1.3043838790e-02 
-1.3739045220e-03 -5.5366822875e-04 1.3419226194e-02 
2.8366753097e-04 -5.5937238182e-04 1.3019867552e-02 
-1.3174424319e-03 -5.9172157084e-04 1.3406986919e-02 
6.4503279201e-04 -6.4356912150e-04 1.2944539211e-02 
9.2810422665e-04 -6.5353813880e-04 1.2875582012e-02 
1.7606000379e-03 -6.8775972984e-04 1.2701617710e-02 
3.2891876349e-04 -7.3454668251e-04 1.2997954503e-02 
7.2963628864e-04 -7.3672811516e-04 1.2908547859e-02 
1.7776617533e-03 -7.6908843184e-04 1.2708796578e-02 
2.7211520098e-04 -8.1256106338e-04 1.3033704445e-02 
3.7029506402e-04 -8.4097402363e-04 1.2970402281e-02 
-7.4521026108e-04 -9.3460406406e-04 1.3238606063e-02 
-1.3044758969e-03 -9.4714411164e-04 1.3381250435e-02 
7.4060133854e-04 -9.0780282890e-04 1.2882323044e-02 
-1.3581845106e-03 -9.4544100822e-04 1.3405816012e-02 
1.4875365019e-03 -1.0981815301e-03 1.2701274935e-02 
1.1105564213e-03 -1.1271672391e-03 1.2814108142e-02 
1.7999215214e-03 -1.1293067628e-03 1.2717275957e-02 
1.5955388979e-03 -1.1645056792e-03 1.2696118568e-02 
-1.2903175421e-03 -1.2929727586e-03 1.3372024645e-02 
1.8019967569e-03 -1.2303807718e-03 1.2702143626e-02 
-7.6302885032e-04 -1.3083634119e-03 1.3221639562e-02 
-1.3451281820e-03 -1.3331490956e-03 1.3387138214e-02 
-8.1058138995e-04 -1.3969441329e-03 1.3220938441e-02 
-1.1649091445e-03 -1.3989151468e-03 1.3317064775e-02 
-1.3535640033e-03 -1.4285262419e-03 1.3387853909e-02 
-1.2951270023e-03 -1.4345579584e-03 1.3353957925e-02 
1.7953900056e-03 -1.3798546433e-03 1.2694518378e-02 
-4.8322562104e-03 -2.5242598939e-03 2.0106131829e-02 
-4.8729042024e-03 -2.7113341025e-03 2.0459205068e-02 
-4.9393941523e-03 -2.7592204442e-03 2.0301313556e-02 
1.3179804573e-03 -1.8434720139e-03 1.2727618878e-02 
4.2265734982e-04 -1.9564180846e-03 1.2928525221e-02 
-1.4151621249e-04 -1.9691296802e-03 1.3061941909e-02 
1.1664725644e-03 -1.9439721933e-03 1.2762783058e-02 
1.0741022567e-03 -1.9411221133e-03 1.2766441383e-02 
6.8425185510e-04 -1.9532062109e-03 1.2869103095e-02 
5.5521742690e-04 -1.9567674845e-03 1.2897126574e-02 
8.1095501071e-05 -1.9745483272e-03 1.3005685882e-02 
9.0728564179e-04 -1.9616598050e-03 1.2817264088e-02 
1.9704925783e-04 -1.9917567487e-03 1.3017945878e-02 
-1.9351570470e-04 -2.0073314819e-03 1.3077877610e-02 
2.5513092928e-04 -1.9963917148e-03 1.2957545675e-02 
-3.1093096074e-04 -2.0196820294e-03 1.3111097099e-02 
1.2001509206e-04 -2.0623268064e-03 1.2990990668e-02 
7.6060236764e-05 -2.0779670300e-03 1.3004709623e-02 
9.1526955877e-04 -2.0655756182e-03 1.2838039651e-02 
1.3984763082e-03 -2.0530173837e-03 1.2708701752e-02 
-1.3976893423e-04 -2.1175639185e-03 1.3056619390e-02 
2.6808982596e-04 -2.1205556610e-03 1.2956570600e-02 
1.3655108359e-04 -2.1274946457e-03 1.2991745967e-02 
6.2351200695e-04 -2.1117494803e-03 1.2863260194e-02 
4.9568687343e-04 -2.1147430327e-03 1.2888176773e-02 
3.7712172356e-04 -2.1235932932e-03 1.2931964178e-02 
1.9646976890e-04 -2.1337663360e-03 1.2960151071e-02 
-2.1777169596e-05 -2.1360786440e-03 1.3000753385e-02 
1.2902408254e-03 -2.1131600448e-03 1.2728948094e-02 
8.6237439679e-04 -2.1176027949e-03 1.2806129575e-02 
4.3006669877e-04 -2.1455529285e-03 1.2916693213e-02 
1.1679517998e-03 -2.1310396359e-03 1.2744996766e-02 
1.4705964338e-03 -2.1366248462e-03 1.2690629066e-02 
1.3310866373e-03 -2.1370704858e-03 1.2715161792e-02 
-2.9775121394e-04 -2.2185827423e-03 1.3061250330e-02 
-1.3780727030e-04 -2.2249418265e-03 1.3043021654e-02 
1.0302571431e-03 -2.2004120456e-03 1.2788830497e-02 
3.7775066305e-04 -2.2824067632e-03 1.2935252169e-02 
4.5955904043e-03 -3.3198800746e-03 1.8397116766e-02 
2.1200156878e-04 -2.3492300330e-03 1.2962880032e-02 
-1.7058489337e-04 -2.3603243383e-03 1.3058635015e-02 
-3.4664485087e-04 -2.3627126528e-03 1.3099777617e-02 
2.9009068122e-04 -2.3527406859e-03 1.2946680646e-02 
9.4820418087e-05 -2.3557744796e-03 1.2993855468e-02 
9.3493301657e-04 -2.3436055088e-03 1.2810576389e-02 
4.5837404398e-03 -3.4043636512e-03 1.8359171657e-02 
1.4256467491e-03 -2.3325785513e-03 1.2698680275e-02 
1.3326175270e-03 -2.3337826769e-03 1.2713873659e-02 
2.4478947586e-04 -2.3866859795e-03 1.2941766949e-02 
-3.9034004951e-05 -2.3915208039e-03 1.3025644808e-02 
